Year,Type,Cost Center,Department,Object Account,Account Description,Subledger Type,Subledger,Subledger Description,Amount
2016,Expenditure,101100,CITY COUNCIL,51101,REGULAR,S,D1,CC-Council District 1,184140.15
2016,Expenditure,101100,CITY COUNCIL,51101,REGULAR,S,D2,CC-Council District 2,184140.45
2016,Expenditure,101100,CITY COUNCIL,51101,REGULAR,S,D3,CC-Council District 3,184139.66
2016,Expenditure,101100,CITY COUNCIL,51101,REGULAR,S,D4,CC-Council District 4,184139.63
2016,Expenditure,101100,CITY COUNCIL,51101,REGULAR,S,D5,CC-Council District 5,184139.59
2016,Expenditure,101100,CITY COUNCIL,51101,REGULAR,S,D6,CC-Council District 6,184139.77
2016,Expenditure,101100,CITY COUNCIL,51101,REGULAR,S,D7,CC-Council District 7,184139.78
2016,Expenditure,101100,CITY COUNCIL,51101,REGULAR,S,D8,CC-Council District 8,184139.97
2016,Expenditure,101100,CITY COUNCIL,51101,REGULAR,S,D9,CC-Council District 9,184139.54
2016,Expenditure,101100,CITY COUNCIL,52101,HEALTH INSURANCE,S,D1,CC-Council District 1,41546.64
2016,Expenditure,101100,CITY COUNCIL,52101,HEALTH INSURANCE,S,D2,CC-Council District 2,15616.2
2016,Expenditure,101100,CITY COUNCIL,52101,HEALTH INSURANCE,S,D3,CC-Council District 3,11963.28
2016,Expenditure,101100,CITY COUNCIL,52101,HEALTH INSURANCE,S,D4,CC-Council District 4,23150.52
2016,Expenditure,101100,CITY COUNCIL,52101,HEALTH INSURANCE,S,D5,CC-Council District 5,11809.2
2016,Expenditure,101100,CITY COUNCIL,52101,HEALTH INSURANCE,S,D6,CC-Council District 6,36941.64
2016,Expenditure,101100,CITY COUNCIL,52101,HEALTH INSURANCE,S,D7,CC-Council District 7,12585.48
2016,Expenditure,101100,CITY COUNCIL,52101,HEALTH INSURANCE,S,D8,CC-Council District 8,31649.76
2016,Expenditure,101100,CITY COUNCIL,52101,HEALTH INSURANCE,S,D9,CC-Council District 9,46136.4
2016,Expenditure,101100,CITY COUNCIL,52111,OTHER INSUR/BENEFITS,S,D1,CC-Council District 1,2611.08
2016,Expenditure,101100,CITY COUNCIL,52111,OTHER INSUR/BENEFITS,S,D2,CC-Council District 2,2921.45
2016,Expenditure,101100,CITY COUNCIL,52111,OTHER INSUR/BENEFITS,S,D3,CC-Council District 3,2635.59
2016,Expenditure,101100,CITY COUNCIL,52111,OTHER INSUR/BENEFITS,S,D4,CC-Council District 4,2774.91
2016,Expenditure,101100,CITY COUNCIL,52111,OTHER INSUR/BENEFITS,S,D5,CC-Council District 5,2312.31
2016,Expenditure,101100,CITY COUNCIL,52111,OTHER INSUR/BENEFITS,S,D6,CC-Council District 6,2949.56
2016,Expenditure,101100,CITY COUNCIL,52111,OTHER INSUR/BENEFITS,S,D7,CC-Council District 7,2413.32
2016,Expenditure,101100,CITY COUNCIL,52111,OTHER INSUR/BENEFITS,S,D8,CC-Council District 8,3382.21
2016,Expenditure,101100,CITY COUNCIL,52111,OTHER INSUR/BENEFITS,S,D9,CC-Council District 9,3221.18
2016,Expenditure,101100,CITY COUNCIL,52201,SOCIAL SECURITY,S,D1,CC-Council District 1,17494.5
2016,Expenditure,101100,CITY COUNCIL,52201,SOCIAL SECURITY,S,D2,CC-Council District 2,19964.63
2016,Expenditure,101100,CITY COUNCIL,52201,SOCIAL SECURITY,S,D3,CC-Council District 3,20409.8
2016,Expenditure,101100,CITY COUNCIL,52201,SOCIAL SECURITY,S,D4,CC-Council District 4,20409.8
2016,Expenditure,101100,CITY COUNCIL,52201,SOCIAL SECURITY,S,D5,CC-Council District 5,18786.62
