Year,Type,Cost Center,Department,Object Account,Account Description,Subledger Type,Subledger,Subledger Description,Amount
2018,Expenditure,101100,CITY COUNCIL,51101,REGULAR, , ,,25621
2018,Expenditure,101100,CITY COUNCIL,51101,REGULAR,S,D0,CC-General,-43637.4
2018,Expenditure,101100,CITY COUNCIL,51101,REGULAR,S,D1,CC-Council District 1,193239.7
2018,Expenditure,101100,CITY COUNCIL,51101,REGULAR,S,D2,CC-Council District 2,195184.15
2018,Expenditure,101100,CITY COUNCIL,51101,REGULAR,S,D3,CC-Council District 3,196175.78
2018,Expenditure,101100,CITY COUNCIL,51101,REGULAR,S,D4,CC-Council District 4,190982.06
2018,Expenditure,101100,CITY COUNCIL,51101,REGULAR,S,D5,CC-Council District 5,198164.58
2018,Expenditure,101100,CITY COUNCIL,51101,REGULAR,S,D6,CC-Council District 6,190883.86
2018,Expenditure,101100,CITY COUNCIL,51101,REGULAR,S,D7,CC-Council District 7,197783.31
2018,Expenditure,101100,CITY COUNCIL,51101,REGULAR,S,D8,CC-Council District 8,197672.57
2018,Expenditure,101100,CITY COUNCIL,51101,REGULAR,S,D9,CC-Council District 9,191150.49
2018,Expenditure,101100,CITY COUNCIL,51401,PREMIUM PAY,S,D0,CC-General,2300
2018,Expenditure,101100,CITY COUNCIL,52101,HEALTH INSURANCE, , ,,4800
2018,Expenditure,101100,CITY COUNCIL,52101,HEALTH INSURANCE,S,D1,CC-Council District 1,28346.4
2018,Expenditure,101100,CITY COUNCIL,52101,HEALTH INSURANCE,S,D2,CC-Council District 2,6699.6
2018,Expenditure,101100,CITY COUNCIL,52101,HEALTH INSURANCE,S,D3,CC-Council District 3,25719.6
2018,Expenditure,101100,CITY COUNCIL,52101,HEALTH INSURANCE,S,D4,CC-Council District 4,33497.64
2018,Expenditure,101100,CITY COUNCIL,52101,HEALTH INSURANCE,S,D5,CC-Council District 5,13399.2
2018,Expenditure,101100,CITY COUNCIL,52101,HEALTH INSURANCE,S,D6,CC-Council District 6,26798.04
2018,Expenditure,101100,CITY COUNCIL,52101,HEALTH INSURANCE,S,D7,CC-Council District 7,25719.6
2018,Expenditure,101100,CITY COUNCIL,52101,HEALTH INSURANCE,S,D8,CC-Council District 8,33497.52
2018,Expenditure,101100,CITY COUNCIL,52101,HEALTH INSURANCE,S,D9,CC-Council District 9,46896.48
2018,Expenditure,101100,CITY COUNCIL,52111,OTHER INSUR/BENEFITS,S,D1,CC-Council District 1,2502.7
2018,Expenditure,101100,CITY COUNCIL,52111,OTHER INSUR/BENEFITS,S,D2,CC-Council District 2,2881.82
2018,Expenditure,101100,CITY COUNCIL,52111,OTHER INSUR/BENEFITS,S,D3,CC-Council District 3,3272.87
2018,Expenditure,101100,CITY COUNCIL,52111,OTHER INSUR/BENEFITS,S,D4,CC-Council District 4,3208.84
2018,Expenditure,101100,CITY COUNCIL,52111,OTHER INSUR/BENEFITS,S,D5,CC-Council District 5,2687.02
2018,Expenditure,101100,CITY COUNCIL,52111,OTHER INSUR/BENEFITS,S,D6,CC-Council District 6,3112.93
2018,Expenditure,101100,CITY COUNCIL,52111,OTHER INSUR/BENEFITS,S,D7,CC-Council District 7,3179.06
