Year,Type,Cost Center,Department,Object Account,Account Description,Subledger Type,Subledger,Subledger Description,Amount
2019,Expenditure,101100,CITY COUNCIL,51101,REGULAR,S,D0,CC-General,134631.55
2019,Expenditure,101100,CITY COUNCIL,51101,REGULAR,S,D1,CC-Council District 1,189046.68
2019,Expenditure,101100,CITY COUNCIL,51101,REGULAR,S,D2,CC-Council District 2,209918.4
2019,Expenditure,101100,CITY COUNCIL,51101,REGULAR,S,D3,CC-Council District 3,200320.2
2019,Expenditure,101100,CITY COUNCIL,51101,REGULAR,S,D4,CC-Council District 4,200320.21
2019,Expenditure,101100,CITY COUNCIL,51101,REGULAR,S,D5,CC-Council District 5,200320.25
2019,Expenditure,101100,CITY COUNCIL,51101,REGULAR,S,D6,CC-Council District 6,211593.99
2019,Expenditure,101100,CITY COUNCIL,51101,REGULAR,S,D7,CC-Council District 7,200320.43
2019,Expenditure,101100,CITY COUNCIL,51101,REGULAR,S,D8,CC-Council District 8,200320.28
2019,Expenditure,101100,CITY COUNCIL,51101,REGULAR,S,D9,CC-Council District 9,200231.63
2019,Expenditure,101100,CITY COUNCIL,51401,PREMIUM PAY,S,D0,CC-General,2346
2019,Expenditure,101100,CITY COUNCIL,52101,HEALTH INSURANCE,S,D0,CC-General,5000
2019,Expenditure,101100,CITY COUNCIL,52101,HEALTH INSURANCE,S,D1,CC-Council District 1,19973.88
2019,Expenditure,101100,CITY COUNCIL,52101,HEALTH INSURANCE,S,D2,CC-Council District 2,6657.96
2019,Expenditure,101100,CITY COUNCIL,52101,HEALTH INSURANCE,S,D3,CC-Council District 3,27855.48
2019,Expenditure,101100,CITY COUNCIL,52101,HEALTH INSURANCE,S,D4,CC-Council District 4,6657.96
2019,Expenditure,101100,CITY COUNCIL,52101,HEALTH INSURANCE,S,D5,CC-Council District 5,13315.92
2019,Expenditure,101100,CITY COUNCIL,52101,HEALTH INSURANCE,S,D6,CC-Council District 6,26631.84
2019,Expenditure,101100,CITY COUNCIL,52101,HEALTH INSURANCE,S,D7,CC-Council District 7,27855.48
2019,Expenditure,101100,CITY COUNCIL,52101,HEALTH INSURANCE,S,D8,CC-Council District 8,41682.01
2019,Expenditure,101100,CITY COUNCIL,52101,HEALTH INSURANCE,S,D9,CC-Council District 9,46605.72
2019,Expenditure,101100,CITY COUNCIL,52111,OTHER INSUR/BENEFITS,S,D1,CC-Council District 1,2846.58
2019,Expenditure,101100,CITY COUNCIL,52111,OTHER INSUR/BENEFITS,S,D2,CC-Council District 2,2906.4
2019,Expenditure,101100,CITY COUNCIL,52111,OTHER INSUR/BENEFITS,S,D3,CC-Council District 3,3207.85
2019,Expenditure,101100,CITY COUNCIL,52111,OTHER INSUR/BENEFITS,S,D4,CC-Council District 4,3009.18
2019,Expenditure,101100,CITY COUNCIL,52111,OTHER INSUR/BENEFITS,S,D5,CC-Council District 5,2827.65
2019,Expenditure,101100,CITY COUNCIL,52111,OTHER INSUR/BENEFITS,S,D6,CC-Council District 6,3074.29
2019,Expenditure,101100,CITY COUNCIL,52111,OTHER INSUR/BENEFITS,S,D7,CC-Council District 7,3134.72
2019,Expenditure,101100,CITY COUNCIL,52111,OTHER INSUR/BENEFITS,S,D8,CC-Council District 8,3650.08
2019,Expenditure,101100,CITY COUNCIL,52111,OTHER INSUR/BENEFITS,S,D9,CC-Council District 9,3903.93
2019,Expenditure,101100,CITY COUNCIL,52201,SOCIAL SECURITY,S,D0,CC-General,179.47
2019,Expenditure,101100,CITY COUNCIL,52201,SOCIAL SECURITY,S,D1,CC-Council District 1,14462.07
2019,Expenditure,101100,CITY COUNCIL,52201,SOCIAL SECURITY,S,D2,CC-Council District 2,16058.76
2019,Expenditure,101100,CITY COUNCIL,52201,SOCIAL SECURITY,S,D3,CC-Council District 3,15324.5
2019,Expenditure,101100,CITY COUNCIL,52201,SOCIAL SECURITY,S,D4,CC-Council District 4,15324.5
2019,Expenditure,101100,CITY COUNCIL,52201,SOCIAL SECURITY,S,D5,CC-Council District 5,15324.5
2019,Expenditure,101100,CITY COUNCIL,52201,SOCIAL SECURITY,S,D6,CC-Council District 6,16186.94
2019,Expenditure,101100,CITY COUNCIL,52201,SOCIAL SECURITY,S,D7,CC-Council District 7,15324.51
2019,Expenditure,101100,CITY COUNCIL,52201,SOCIAL SECURITY,S,D8,CC-Council District 8,15324.5
2019,Expenditure,101100,CITY COUNCIL,52201,SOCIAL SECURITY,S,D9,CC-Council District 9,15317.72
2019,Expenditure,101100,CITY COUNCIL,52301,MEDICAL - W/C,S,D0,CC-General,1000
2019,Expenditure,101100,CITY COUNCIL,52601,PERSONAL LEAVE BUYBACK,S,D0,CC-General,18000
2019,Expenditure,101100,CITY COUNCIL,56105,POSTAGE,S,D1,CC-Council District 1,4444.44
2019,Expenditure,101100,CITY COUNCIL,56105,POSTAGE,S,D2,CC-Council District 2,4444.44
2019,Expenditure,101100,CITY COUNCIL,56105,POSTAGE,S,D3,CC-Council District 3,4444.44
2019,Expenditure,101100,CITY COUNCIL,56105,POSTAGE,S,D4,CC-Council District 4,4444.44
2019,Expenditure,101100,CITY COUNCIL,56105,POSTAGE,S,D5,CC-Council District 5,4444.44
2019,Expenditure,101100,CITY COUNCIL,56105,POSTAGE,S,D6,CC-Council District 6,4444.44
2019,Expenditure,101100,CITY COUNCIL,56105,POSTAGE,S,D7,CC-Council District 7,4444.44
2019,Expenditure,101100,CITY COUNCIL,56105,POSTAGE,S,D8,CC-Council District 8,4444.44
2019,Expenditure,101100,CITY COUNCIL,56105,POSTAGE,S,D9,CC-Council District 9,4444.44
2019,Expenditure,101200,CITY CLERK,51101,REGULAR,S,CC0,CC-General,824302.48
2019,Expenditure,101200,CITY CLERK,51401,PREMIUM PAY,S,CC0,CC-General,1020
2019,Expenditure,101200,CITY CLERK,52101,HEALTH INSURANCE,S,CC0,CC-General,163027.64
2019,Expenditure,101200,CITY CLERK,52111,OTHER INSUR/BENEFITS,S,CC0,CC-General,16098.18
2019,Expenditure,101200,CITY CLERK,52201,SOCIAL SECURITY,S,CC0,CC-General,63059.14
2019,Expenditure,101200,CITY CLERK,52301,MEDICAL - W/C,S,CC0,CC-General,5000
2019,Expenditure,101200,CITY CLERK,52305,INDEMNITY - W/C,S,CC0,CC-General,1500
2019,Expenditure,101200,CITY CLERK,52601,PERSONAL LEAVE BUYBACK,S,CC0,CC-General,15000
2019,Expenditure,101200,CITY CLERK,52602,TUITION REIMBURSEMENT,S,CC0,CC-General,2000
2019,Expenditure,101200,CITY CLERK,53101,ADMINISTRATIVE FEES,S,CC0,CC-General,22510
2019,Expenditure,101200,CITY CLERK,53101,ADMINISTRATIVE FEES,S,CC1,CC-Council District 1,7900
2019,Expenditure,101200,CITY CLERK,53101,ADMINISTRATIVE FEES,S,CC2,CC-Council District 2,7900
2019,Expenditure,101200,CITY CLERK,53101,ADMINISTRATIVE FEES,S,CC3,CC-Council District 3,7900
