Year,Type,Cost Center,Department,Object Account,Account Description,Subledger Type,Subledger,Subledger Description,Amount
2021,Expenditure,101100,CITY COUNCIL,51101,REGULAR,S,D0,CC-General,-303896.61
2021,Expenditure,101100,CITY COUNCIL,51101,REGULAR,S,D1,CC-Council District 1,219307.84
2021,Expenditure,101100,CITY COUNCIL,51101,REGULAR,S,D2,CC-Council District 2,233543.99
2021,Expenditure,101100,CITY COUNCIL,51101,REGULAR,S,D3,CC-Council District 3,248801.22
2021,Expenditure,101100,CITY COUNCIL,51101,REGULAR,S,D4,CC-Council District 4,250192.2
2021,Expenditure,101100,CITY COUNCIL,51101,REGULAR,S,D5,CC-Council District 5,247467.61
2021,Expenditure,101100,CITY COUNCIL,51101,REGULAR,S,D6,CC-Council District 6,229491.21
2021,Expenditure,101100,CITY COUNCIL,51101,REGULAR,S,D7,CC-Council District 7,234846.79
2021,Expenditure,101100,CITY COUNCIL,51101,REGULAR,S,D8,CC-Council District 8,255342.28
2021,Expenditure,101100,CITY COUNCIL,51101,REGULAR,S,D9,CC-Council District 9,223172.17
2021,Expenditure,101100,CITY COUNCIL,52101,HEALTH INSURANCE,S,D1,CC-Council District 1,16028.64
2021,Expenditure,101100,CITY COUNCIL,52101,HEALTH INSURANCE,S,D2,CC-Council District 2,8014.32
2021,Expenditure,101100,CITY COUNCIL,52101,HEALTH INSURANCE,S,D3,CC-Council District 3,24042.96
2021,Expenditure,101100,CITY COUNCIL,52101,HEALTH INSURANCE,S,D4,CC-Council District 4,40071.36
2021,Expenditure,101100,CITY COUNCIL,52101,HEALTH INSURANCE,S,D5,CC-Council District 5,24042.96
2021,Expenditure,101100,CITY COUNCIL,52101,HEALTH INSURANCE,S,D6,CC-Council District 6,48085.44
2021,Expenditure,101100,CITY COUNCIL,52101,HEALTH INSURANCE,S,D7,CC-Council District 7,8014.32
2021,Expenditure,101100,CITY COUNCIL,52101,HEALTH INSURANCE,S,D8,CC-Council District 8,32057.04
2021,Expenditure,101100,CITY COUNCIL,52101,HEALTH INSURANCE,S,D9,CC-Council District 9,56099.76
2021,Expenditure,101100,CITY COUNCIL,52111,OTHER INSUR/BENEFITS,S,D1,CC-Council District 1,2799.07
2021,Expenditure,101100,CITY COUNCIL,52111,OTHER INSUR/BENEFITS,S,D2,CC-Council District 2,2963.67
2021,Expenditure,101100,CITY COUNCIL,52111,OTHER INSUR/BENEFITS,S,D3,CC-Council District 3,3492.96
2021,Expenditure,101100,CITY COUNCIL,52111,OTHER INSUR/BENEFITS,S,D4,CC-Council District 4,3734.21
2021,Expenditure,101100,CITY COUNCIL,52111,OTHER INSUR/BENEFITS,S,D5,CC-Council District 5,3487.25
2021,Expenditure,101100,CITY COUNCIL,52111,OTHER INSUR/BENEFITS,S,D6,CC-Council District 6,3588.16
2021,Expenditure,101100,CITY COUNCIL,52111,OTHER INSUR/BENEFITS,S,D7,CC-Council District 7,2985.8
2021,Expenditure,101100,CITY COUNCIL,52111,OTHER INSUR/BENEFITS,S,D8,CC-Council District 8,3635.13
2021,Expenditure,101100,CITY COUNCIL,52111,OTHER INSUR/BENEFITS,S,D9,CC-Council District 9,3841.3
2021,Expenditure,101100,CITY COUNCIL,52201,SOCIAL SECURITY,S,D1,CC-Council District 1,16799.98
2021,Expenditure,101100,CITY COUNCIL,52201,SOCIAL SECURITY,S,D2,CC-Council District 2,17889.04
2021,Expenditure,101100,CITY COUNCIL,52201,SOCIAL SECURITY,S,D3,CC-Council District 3,19056.22
2021,Expenditure,101100,CITY COUNCIL,52201,SOCIAL SECURITY,S,D4,CC-Council District 4,19162.63
2021,Expenditure,101100,CITY COUNCIL,52201,SOCIAL SECURITY,S,D5,CC-Council District 5,18954.2
2021,Expenditure,101100,CITY COUNCIL,52201,SOCIAL SECURITY,S,D6,CC-Council District 6,17579.01
2021,Expenditure,101100,CITY COUNCIL,52201,SOCIAL SECURITY,S,D7,CC-Council District 7,17988.71
2021,Expenditure,101100,CITY COUNCIL,52201,SOCIAL SECURITY,S,D8,CC-Council District 8,19556.61
2021,Expenditure,101100,CITY COUNCIL,52201,SOCIAL SECURITY,S,D9,CC-Council District 9,17095.6
2021,Expenditure,101100,CITY COUNCIL,52305,INDEMNITY - W/C,S,D0,CC-General,12746
2021,Expenditure,101100,CITY COUNCIL,52601,PERSONAL LEAVE BUYBACK,S,D0,CC-General,19000
2021,Expenditure,101100,CITY COUNCIL,56105,POSTAGE,S,D1,CC-Council District 1,4444.44
2021,Expenditure,101100,CITY COUNCIL,56105,POSTAGE,S,D2,CC-Council District 2,4444.44
2021,Expenditure,101100,CITY COUNCIL,56105,POSTAGE,S,D3,CC-Council District 3,4444.44
2021,Expenditure,101100,CITY COUNCIL,56105,POSTAGE,S,D4,CC-Council District 4,4444.44
2021,Expenditure,101100,CITY COUNCIL,56105,POSTAGE,S,D5,CC-Council District 5,4444.44
2021,Expenditure,101100,CITY COUNCIL,56105,POSTAGE,S,D6,CC-Council District 6,4444.44
2021,Expenditure,101100,CITY COUNCIL,56105,POSTAGE,S,D7,CC-Council District 7,4444.44
2021,Expenditure,101100,CITY COUNCIL,56105,POSTAGE,S,D8,CC-Council District 8,4444.44
2021,Expenditure,101100,CITY COUNCIL,56105,POSTAGE,S,D9,CC-Council District 9,4444.44
2021,Expenditure,101200,CITY CLERK,51101,REGULAR,S,CC0,CC-General,637038.11
2021,Expenditure,101200,CITY CLERK,52101,HEALTH INSURANCE,S,CC0,CC-General,104185.68
2021,Expenditure,101200,CITY CLERK,52111,OTHER INSUR/BENEFITS,S,CC0,CC-General,14494.45
2021,Expenditure,101200,CITY CLERK,52201,SOCIAL SECURITY,S,CC0,CC-General,58405.18
2021,Expenditure,101200,CITY CLERK,52601,PERSONAL LEAVE BUYBACK,S,CC0,CC-General,19000
2021,Expenditure,101200,CITY CLERK,52602,TUITION REIMBURSEMENT,S,CC0,CC-General,2000
2021,Expenditure,101200,CITY CLERK,53101,ADMINISTRATIVE FEES,S,CC0,CC-General,22510
2021,Expenditure,101200,CITY CLERK,53101,ADMINISTRATIVE FEES,S,CC1,CC-Council District 1,7900
2021,Expenditure,101200,CITY CLERK,53101,ADMINISTRATIVE FEES,S,CC2,CC-Council District 2,7900
2021,Expenditure,101200,CITY CLERK,53101,ADMINISTRATIVE FEES,S,CC3,CC-Council District 3,7900
2021,Expenditure,101200,CITY CLERK,53101,ADMINISTRATIVE FEES,S,CC4,CC-Council District 4,7900
2021,Expenditure,101200,CITY CLERK,53101,ADMINISTRATIVE FEES,S,CC5,CC-Council District 5,7900
2021,Expenditure,101200,CITY CLERK,53101,ADMINISTRATIVE FEES,S,CC6,CC-Council District 6,7900
2021,Expenditure,101200,CITY CLERK,53101,ADMINISTRATIVE FEES,S,CC7,CC-Council District 7,7900
2021,Expenditure,101200,CITY CLERK,53101,ADMINISTRATIVE FEES,S,CC8,CC-Council District 8,7900
2021,Expenditure,101200,CITY CLERK,53101,ADMINISTRATIVE FEES,S,CC9,CC-Council District 9,7900
2021,Expenditure,101200,CITY CLERK,53301,WORKFORCE TRAINING,S,CC0,CC-General,10500
2021,Expenditure,101200,CITY CLERK,53501,AUDITING & ACCOUNTING SERVICE,S,CC0,CC-General,18500
2021,Expenditure,101200,CITY CLERK,53509,COMPUTER MAINTANACE,S,CC0,CC-General,74920
2021,Expenditure,101200,CITY CLERK,53517,LEGAL FEES,S,CC0,CC-General,40000
2021,Expenditure,101200,CITY CLERK,53529,PROTECTIVE / INVESTIGATION,S,CC0,CC-General,1000
2021,Expenditure,101200,CITY CLERK,53901,PROFESSIONAL SERVICES - CONVER,S,CC0,CC-General,31200
2021,Expenditure,101200,CITY CLERK,54101,CLEANING,S,CC0,CC-General,1600
2021,Expenditure,101200,CITY CLERK,54103,DISPOSAL - REFUSE,S,CC0,CC-General,1140
2021,Expenditure,101200,CITY CLERK,54207,CONSTRUCTION,S,CC0,CC-General,25000
2021,Expenditure,101200,CITY CLERK,54505,OFFICE EQUIPMENT,S,CC0,CC-General,10000
2021,Expenditure,101200,CITY CLERK,55201,TELEPHONE,S,CC0,CC-General,600
2021,Expenditure,101200,CITY CLERK,55305,PROMOTIONAL,S,CC0,CC-General,1700
2021,Expenditure,101200,CITY CLERK,55309,REGULATORY,S,CC0,CC-General,2925
2021,Expenditure,101200,CITY CLERK,55501,PRINTING & BINDING,S,CC0,CC-General,1000
2021,Expenditure,101200,CITY CLERK,55701,TRANSPORTATION,S,CC0,CC-General,6000
2021,Expenditure,101200,CITY CLERK,55705,LODGING,S,CC0,CC-General,6000
2021,Expenditure,101200,CITY CLERK,55709,PER DIEM,S,CC0,CC-General,2704
2021,Expenditure,101200,CITY CLERK,56101,OFFICE SUPPLIES,S,CC0,CC-General,18500
2021,Expenditure,101200,CITY CLERK,56103,FREIGHT,S,CC0,CC-General,100
2021,Expenditure,101200,CITY CLERK,56105,POSTAGE,S,CC0,CC-General,50
2021,Expenditure,101200,CITY CLERK,56151,OPERATIONAL SUPPLIES,S,CC0,CC-General,4300
2021,Expenditure,101200,CITY CLERK,57501,MACHINERY AND EQUIPMENT,S,CC0,CC-General,11440
2021,Expenditure,101200,CITY CLERK,57531,VEHICLES,S,CC1,CC-Council District 1,5175
2021,Expenditure,101200,CITY CLERK,57531,VEHICLES,S,CC2,CC-Council District 2,5175
2021,Expenditure,101200,CITY CLERK,57531,VEHICLES,S,CC3,CC-Council District 3,5175
2021,Expenditure,101200,CITY CLERK,57531,VEHICLES,S,CC4,CC-Council District 4,5175
2021,Expenditure,101200,CITY CLERK,57531,VEHICLES,S,CC5,CC-Council District 5,5175
2021,Expenditure,101200,CITY CLERK,57531,VEHICLES,S,CC6,CC-Council District 6,5175
2021,Expenditure,101200,CITY CLERK,57531,VEHICLES,S,CC7,CC-Council District 7,5175
2021,Expenditure,101200,CITY CLERK,57531,VEHICLES,S,CC8,CC-Council District 8,5175
2021,Expenditure,101200,CITY CLERK,57531,VEHICLES,S,CC9,CC-Council District 9,5175
2021,Expenditure,101200,CITY CLERK,57571,FURNITURE AND FIXTURES,S,CC0,CC-General,20000
2021,Expenditure,101200,CITY CLERK,58101,GRANTS,S,CC1,CC-Council District 1,100
2021,Expenditure,101200,CITY CLERK,58101,GRANTS,S,CC2,CC-Council District 2,100
2021,Expenditure,101200,CITY CLERK,58101,GRANTS,S,CC3,CC-Council District 3,100
2021,Expenditure,101200,CITY CLERK,58101,GRANTS,S,CC4,CC-Council District 4,100
2021,Expenditure,101200,CITY CLERK,58101,GRANTS,S,CC5,CC-Council District 5,100
2021,Expenditure,101200,CITY CLERK,58101,GRANTS,S,CC6,CC-Council District 6,100
2021,Expenditure,101200,CITY CLERK,58101,GRANTS,S,CC7,CC-Council District 7,100
2021,Expenditure,101200,CITY CLERK,58101,GRANTS,S,CC8,CC-Council District 8,100
2021,Expenditure,101200,CITY CLERK,58101,GRANTS,S,CC9,CC-Council District 9,100
2021,Expenditure,102000,MAYOR'S OFFICE,51101,REGULAR, , ,,857612.74
2021,Expenditure,102000,MAYOR'S OFFICE,52101,HEALTH INSURANCE, , ,,120214.08
2021,Expenditure,102000,MAYOR'S OFFICE,52111,OTHER INSUR/BENEFITS, , ,,20379.11
2021,Expenditure,102000,MAYOR'S OFFICE,52201,SOCIAL SECURITY, , ,,81740.03
2021,Expenditure,102000,MAYOR'S OFFICE,52601,PERSONAL LEAVE BUYBACK, , ,,20000
2021,Expenditure,102000,MAYOR'S OFFICE,52602,TUITION REIMBURSEMENT, , ,,10000
2021,Expenditure,102000,MAYOR'S OFFICE,53101,ADMINISTRATIVE FEES, , ,,500
2021,Expenditure,102000,MAYOR'S OFFICE,53301,WORKFORCE TRAINING, , ,,15000
2021,Expenditure,102000,MAYOR'S OFFICE,55501,PRINTING & BINDING, , ,,4000
2021,Expenditure,102000,MAYOR'S OFFICE,56101,OFFICE SUPPLIES, , ,,8500
2021,Expenditure,102000,MAYOR'S OFFICE,56151,OPERATIONAL SUPPLIES, , ,,10500
2021,Expenditure,102100,OFFICE OF EQUITY,51101,REGULAR, , ,,753720.97
2021,Expenditure,102100,OFFICE OF EQUITY,52101,HEALTH INSURANCE, , ,,160284.48
2021,Expenditure,102100,OFFICE OF EQUITY,52111,OTHER INSUR/BENEFITS, , ,,17134.43
2021,Expenditure,102100,OFFICE OF EQUITY,52201,SOCIAL SECURITY, , ,,67111.84
2021,Expenditure,102100,OFFICE OF EQUITY,52601,PERSONAL LEAVE BUYBACK, , ,,18000
2021,Expenditure,102100,OFFICE OF EQUITY,52602,TUITION REIMBURSEMENT, , ,,15000
2021,Expenditure,102100,OFFICE OF EQUITY,53101,ADMINISTRATIVE FEES, , ,,36000
2021,Expenditure,102100,OFFICE OF EQUITY,53301,WORKFORCE TRAINING, , ,,11314
2021,Expenditure,102100,OFFICE OF EQUITY,53509,COMPUTER MAINTANACE, , ,,18386
2021,Expenditure,102100,OFFICE OF EQUITY,53901,PROFESSIONAL SERVICES - CONVER, , ,,202500
2021,Expenditure,102100,OFFICE OF EQUITY,55701,TRANSPORTATION, , ,,250
2021,Expenditure,102100,OFFICE OF EQUITY,56101,OFFICE SUPPLIES, , ,,2300
2021,Expenditure,102200,OFFICE OF MANAGEMENT AND BUDGET,51101,REGULAR, , ,,1414640.75
2021,Expenditure,102200,OFFICE OF MANAGEMENT AND BUDGET,52101,HEALTH INSURANCE, , ,,240428.16
2021,Expenditure,102200,OFFICE OF MANAGEMENT AND BUDGET,52111,OTHER INSUR/BENEFITS, , ,,30487.78
2021,Expenditure,102200,OFFICE OF MANAGEMENT AND BUDGET,52201,SOCIAL SECURITY, , ,,126036.55
2021,Expenditure,102200,OFFICE OF MANAGEMENT AND BUDGET,52301,MEDICAL - W/C, , ,,1597
2021,Expenditure,102200,OFFICE OF MANAGEMENT AND BUDGET,52601,PERSONAL LEAVE BUYBACK, , ,,32000
2021,Expenditure,102200,OFFICE OF MANAGEMENT AND BUDGET,52602,TUITION REIMBURSEMENT, , ,,17000
2021,Expenditure,102200,OFFICE OF MANAGEMENT AND BUDGET,53101,ADMINISTRATIVE FEES, , ,,385003
2021,Expenditure,102200,OFFICE OF MANAGEMENT AND BUDGET,53301,WORKFORCE TRAINING, , ,,2695
2021,Expenditure,102200,OFFICE OF MANAGEMENT AND BUDGET,53509,COMPUTER MAINTANACE, , ,,186828
2021,Expenditure,102200,OFFICE OF MANAGEMENT AND BUDGET,53725,MAINTENANCE - MISC, , ,,34824
